Code du cours|Description du cours|Année d'études|Parcours ou destination|Effectif
ADA1O|Théâtre|9e année|Ouvert|32020
ADA2O|Théâtre|10e année|Ouvert|21635
ADA3M|Théâtre|11e année|Filière préuniversitaire/précollégiale|8880
ADA3O|Théâtre|11e année|Ouvert|1600
ADA4E|Théâtre|12e année|Filière préemploi|115
ADA4M|Théâtre|12e année|Filière préuniversitaire/précollégiale|6080
ADB1O|Théâtre musical|9e année|Ouvert|130
ADB2O|Théâtre musical|10e année|Ouvert|235
ADB3M|Théâtre musical|11e année|Filière préuniversitaire/précollégiale|550
ADB3O|Théâtre musical|11e année|Ouvert|80
ADB4M|Théâtre musical|12e année|Filière préuniversitaire/précollégiale|590
ADC1O|Théâtre communautaire|9e année|Ouvert|135
ADC2O|Théâtre communautaire|10e année|Ouvert|70
ADC3M|Théâtre communautaire|11e année|Filière préuniversitaire/précollégiale|135
ADC3O|Théâtre communautaire|11e année|Ouvert|<10
ADC4M|Théâtre communautaire|12e année|Filière préuniversitaire/précollégiale|200
ADD1O|Théâtre - production|9e année|Ouvert|710
ADD2O|Théâtre - production|10e année|Ouvert|920
ADD3M|Théâtre - production|11e année|Filière préuniversitaire/précollégiale|900
ADD3O|Théâtre - production|11e année|Ouvert|195
ADD4M|Théâtre - production|12e année|Filière préuniversitaire/précollégiale|1030
ADD4O|Théâtre - production|12e année|Ouvert|<10
ADF3M|Travail de mise en scène|11e année|Filière préuniversitaire/précollégiale|65
ADF4M|Travail de mise en scène|12e année|Filière préuniversitaire/précollégiale|200
ADG3M|Théâtre - jeu dramatique et improvisation|11e année|Filière préuniversitaire/précollégiale|170
ADG3O|Théâtre - jeu dramatique et improvisation|11e année|Ouvert|70
ADG4M|Théâtre - jeu dramatique et improvisation|12e année|Filière préuniversitaire/précollégiale|135
ADH4T|Performing Arts Career Studies|12e année|Cours collégial, enseigné par le collège (DRC)|<10
ADP3M|Théâtre - dramaturgie et développement théâtral|11e année|Filière préuniversitaire/précollégiale|120
ADP4M|Théâtre - dramaturgie et développement théâtral|12e année|Filière préuniversitaire/précollégiale|85
ADT3M|Théâtre - théâtre canadien|11e année|Filière préuniversitaire/précollégiale|20
ADT4M|Théâtre - théâtre canadien|12e année|Filière préuniversitaire/précollégiale|<10
ADV1O|Théâtre - cinéma/vidéo|9e année|Ouvert|50
ADV2O|Théâtre - cinéma/vidéo|10e année|Ouvert|90
ADV3M|Théâtre - cinéma/vidéo|11e année|Filière préuniversitaire/précollégiale|320
ADV3O|Théâtre - cinéma/vidéo|11e année|Ouvert|75
ADV4M|Théâtre - cinéma/vidéo|12e année|Filière préuniversitaire/précollégiale|305
AEA3O|Exploration et création artistique|11e année|Ouvert|985
AEA4O|Exploration et création artistique|12e année|Ouvert|490
AED4T|Art and Design Portfolio Development|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AEE4T|Art History and Appreciation|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AEF4T|Design|12e année|Cours collégial, enseigné par le collège (DRC)|20
AEH4T|Elements of Décor|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AEL4T|Basic  Design|12e année|Cours collégial, enseigné par le collège (DRC)|30
AEM4T|Composition and Creativity|12e année|Cours collégial, enseigné par le collège (DRC)|20
AFA4T|Illustration|12e année|Cours collégial, enseigné par le collège (DRC)|50
AFB4T|Painting and Drawing|12e année|Cours collégial, enseigné par le collège (DRC)|20
AFD4T|Drawing|12e année|Cours collégial, enseigné par le collège (DRC)|125
AFE4T|Basic Digital Photography|12e année|Cours collégial, enseigné par le collège (DRC)|15
AFG4T|2D Digital Art|12e année|Cours collégial, enseigné par le collège (DRC)|25
AFI4T|Digital Photography and Image Editing|12e année|Cours collégial, enseigné par le collège (DRC)|150
AFJ4T|Digital Art and Design|12e année|Cours collégial, enseigné par le collège (DRC)|65
AFK4T|Digital Photography|12e année|Cours collégial, enseigné par le collège (DRC)|130
AFM4T|Digital Applications|12e année|Cours collégial, enseigné par le collège (DRC)|20
AFR4T|Modelling and Animation|12e année|Cours collégial, enseigné par le collège (DRC)|40
AFS4T|Painting and Drawing – Theory|12e année|Cours collégial, enseigné par le collège (DRC)|<10
AHE4T|La musique et la société|12e année|Cours collégial, enseigné par le collège (DRC)|30
AHG4T|Canadian Music Industry|12e année|Cours collégial, enseigné par le collège (DRC)|<10
ALC1O|Arts intégrés|9e année|Ouvert|3670
ALC2O|Arts intégrés|10e année|Ouvert|555
AMB1O|Musique instrumentale - cuivres|9e année|Ouvert|75
AMB2O|Musique instrumentale - cuivres|10e année|Ouvert|25
AMB3M|Musique instrumentale - cuivres|11e année|Filière préuniversitaire/précollégiale|30
AMB4M|Musique instrumentale - cuivres|12e année|Filière préuniversitaire/précollégiale|30
